Titular;Categoria;Fuente;;
Excomandante Mendieta: Evo y µlvaro aterrizaban seguido en el Colmil, hasta con sus familiares;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/excomandante-mendieta-evo-alvaro-aterrizaban-seguido-en-el-colmil-hasta-con-sus-familiares-328128.html;;
Jeanine A§ez: No mov° un dedo para ser presidenta y trabajÇ con la Asamblea;POLITICA;https://www.paginasiete.bo/nacional/2022/4/9/jeanine-anez-no-movi-un-dedo-para-ser-presidenta-trabaje-con-la-asamblea-328107.html;;
Chile espera permiso de Bolivia para plan tur°stico;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/chile-espera-permiso-de-bolivia-para-plan-turistico-328102.html;;
Expertos: Sin canales flujo baja 11%, con restauraci¢n de bofedales 33%;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/expertos-sin-canales-flujo-baja-11-con-restauracion-de-bofedales-33-328108.html;;
Oropeza: Chile no logr¢ datos in situ, sino de forma remota;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/oropeza-chile-no-logro-datos-in-situ-sino-de-forma-remota-328109.html;;
ÆBolivia se a°slaØ, opinan los analistas luego de que el pa°s se alineara a Rusia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/bolivia-se-aisla-opinan-los-analistas-luego-de-que-el-pais-se-alineara-rusia-328114.html;;
Gabinete ampliado: Arce deja instrucciones y reflexiones sobre lucha contra la corrupci¢n;POLITICA;https://www.paginasiete.bo/nacional/2022/4/8/gabinete-ampliado-arce-deja-instrucciones-reflexiones-sobre-lucha-contra-la-corrupcion-328092.html;;
La mayor°a de postulantes habilitados a la Defensor°a es abogado y estudiante;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/la-mayoria-de-postulantes-habilitados-la-defensoria-es-abogado-estudiante-328077.html;;
Juicio oral contra A§ez ingresa en otro receso hasta la pr¢xima semana;POLITICA;https://www.paginasiete.bo/nacional/2022/4/8/juicio-oral-contra-anez-ingresa-en-otro-receso-hasta-la-proxima-semana-328068.html;;
Exjefe de Estado Mayor en juicio: ÆNo he participado directamente de ninguno de esos hechosØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/exjefe-de-estado-mayor-en-juicio-no-he-participado-directamente-de-ninguno-de-esos-hechos-328058.html;;
Silala: expertos de Bolivia afirman que estudios topogr†ficos de Chile no son comparables;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/silala-expertos-de-bolivia-afirman-que-estudios-topograficos-de-chile-no-son-comparables-328051.html;;
A§ez en juicio oral: ÆFui una consecuencia de la convulsi¢nØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/8/anez-en-juicio-oral-fui-una-consecuencia-de-la-convulsion-328042.html;;
Los expertos de Chile no visitaron el Silala y utilizaron datos de Bolivia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/los-expertos-de-chile-no-visitaron-el-silala-utilizaron-datos-de-bolivia-328016.html;;
ÆCreo que Chile cometi¢ un errorØ, dice Guzm†n;POLITICA;https://www.paginasiete.bo/nacional/2022/4/8/creo-que-chile-cometio-un-error-dice-guzman-328017.html;;
Exrepresentante: Ductec plante¢, sin Çxito, desmantelar los canales en 2001;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/exrepresentante-ductec-planteo-sin-exito-desmantelar-los-canales-en-2001-328018.html;;
Defensor: habilitan 72 carpetas, Vera est† fuera;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/8/defensor-habilitan-72-carpetas-vera-esta-fuera-328027.html;;
Universidad Metropolitana de Argentina entrega t°tulo Doctor Honoris Causa al presidente Arce;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/universidad-metropolitana-de-argentina-entrega-titulo-doctor-honoris-causa-al-presidente-arce-327982.html;;
"Valverde: ""Evo se convirti¢ en el sapo, el hombre que est† delatando a su propio gobierno""";NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/valverde-evo-se-convirtio-en-el-sapo-el-hombre-que-esta-delatando-su-propio-gobierno-327978.html;;
Exdiputados: Evo hace m†s oposici¢n que CC y Creemos, logr¢ la destituci¢n de un jefe policial;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/exdiputados-evo-hace-mas-oposicion-que-cc-creemos-logro-la-destitucion-de-un-jefe-policial-327963.html;;
HRW sobre votaci¢n de Bolivia en la ONU: ÆSe mostr¢ quiÇn defiende la justicia y quiÇn noØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/hrw-sobre-votacion-de-bolivia-en-la-onu-se-mostro-quien-defiende-la-justicia-quien-no-327969.html;;
"Dictan receso en el juicio oral de A§ez; el viernes es turno de la defensa";NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/dictan-receso-en-el-juicio-oral-de-anez-el-viernes-es-turno-de-la-defensa-327959.html;;
Silala: Chile us¢ estudios de Bolivia y experto dice que ser°a ÆestupendoØ eliminar los canales;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/silala-chile-uso-estudios-de-bolivia-experto-dice-que-seria-estupendo-eliminar-los-canales-327966.html;;
Arce llega a Buenos Aires para reunirse con el presidente Fern†ndez;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/arce-llega-buenos-aires-para-reunirse-con-el-presidente-fernandez-327958.html;;
Suman 10 las arremetidas de Evo en contra del gobierno de Luis Arce;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/suman-10-las-arremetidas-de-evo-en-contra-del-gobierno-de-luis-arce-327926.html;;
Chile rechaza pago y dice que es libre de usar las aguas del Silala como le plazca;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/chile-rechaza-pago-dice-que-es-libre-de-usar-las-aguas-del-silala-como-le-plazca-327924.html;;
Defensor: 84 son habilitados y un veedor advierte ÆpreferenciasØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/defensor-84-son-habilitados-un-veedor-advierte-preferencias-327949.html;;
Calzadilla: ÆChile acept¢ que Bolivia tiene derecho sobre obrasØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/7/calzadilla-chile-acepto-que-bolivia-tiene-derecho-sobre-obras-327925.html;;
Agente Calzadilla: Chile acept¢ que Bolivia tiene derecho sobre las canalizaciones en el Silala;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/6/agente-calzadilla-chile-acepto-que-bolivia-tiene-derecho-sobre-las-canalizaciones-en-el-silala-327883.html;;
Vicec¢nsul exige que periodista argentina le pida disculpas por haberlo llamado ÆdelincuenteØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/6/viceconsul-exige-que-periodista-argentina-le-pida-disculpas-por-haberlo-llamado-delincuente-327879.html;;
Chile dice en la CIJ que es libre de usar las aguas del Silala Æcomo le plazca, sin pago o acuerdoØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/6/chile-dice-en-la-cij-que-es-libre-de-usar-las-aguas-del-silala-como-le-plazca-sin-pago-acuerdo-327873.html;;
Analistas ven que Morales abre pugna para menoscabar a Arce;POLITICA;https://www.paginasiete.bo/nacional/2022/4/6/analistas-ven-que-morales-abre-pugna-para-menoscabar-arce-327839.html;;
®QuiÇn es Brenda Lafuente, la polÇmica directora de AJAM?;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/6/quien-es-brenda-lafuente-la-polemica-directora-de-ajam-327857.html;;
Silala: Bolivia pide compensaci¢n por preservar los canales y flujo artificial;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/6/silala-bolivia-pide-compensacion-por-preservar-los-canales-flujo-artificial-327836.html;;
TDJ rechaza amparo contra Luis Arce;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/6/tdj-rechaza-amparo-contra-luis-arce-327846.html;;
Defensor: Morales queda fuera y Cruz es habilitada;POLITICA;https://www.paginasiete.bo/nacional/2022/4/6/defensor-morales-queda-fuera-cruz-es-habilitada-327848.html;;
En medio del caso Sacta, Del Castillo se excusa de presentar informe en el Legislativo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/en-medio-del-caso-sacta-del-castillo-se-excusa-de-presentar-informe-en-el-legislativo-327818.html;;
Postulaciones a Defensor°a: Comisi¢n hablita a Nadia Cruz y deja fuera a l°der del Conade;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/postulaciones-defensoria-comision-hablita-nadia-cruz-deja-fuera-lider-del-conade-327804.html;;
Luis Arce viajar† el jueves a Argentina para reunirse con Alberto Fern†ndez;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/luis-arce-viajara-el-jueves-argentina-para-reunirse-con-alberto-fernandez-327803.html;;
Disponen receso del juicio contra A§ez y exjefes militares hasta el jueves;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/disponen-receso-del-juicio-contra-anez-exjefes-militares-hasta-el-jueves-327797.html;;
Diputado del MAS: No tenemos confianza en el director de la Felcn, fue personal del gobierno de facto;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/diputado-del-mas-no-tenemos-confianza-en-el-director-de-la-felcn-fue-personal-del-gobierno-de-facto-327788.html;;
Defensa de A§ez: Buscan concluir el juicio en tiempo rÇcord, ya debe de existir una sentencia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/defensa-de-anez-buscan-concluir-el-juicio-en-tiempo-record-ya-debe-de-existir-una-sentencia-327787.html;;
Periodista argentina llama ÆdelincuenteØ a vicec¢nsul boliviano y la embajada anuncia acciones;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/periodista-argentina-llama-delincuente-viceconsul-boliviano-la-embajada-anuncia-acciones-327774.html;;
Bolivia dice en la CIJ que tiene derecho a una compensaci¢n que incluya mantenimiento de los canales;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-dice-en-la-cij-que-tiene-derecho-una-compensacion-que-incluya-mantenimiento-de-los-canales-327785.html;;
Bolivia: Chile se benefici¢ un siglo y quiere quedarse con el total del Silala;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-chile-se-beneficio-un-siglo-quiere-quedarse-con-el-total-del-silala-327761.html;;
Bolivia prevÇ desmantelar los canales y podr°a afectar hasta un 33% del flujo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-preve-desmantelar-los-canales-podria-afectar-hasta-un-33-del-flujo-327763.html;;
Defensor: de 50 aspirantes, 20 ya fueron inhabilitados;POLITICA;https://www.paginasiete.bo/nacional/2022/4/5/defensor-de-50-aspirantes-20-ya-fueron-inhabilitados-327769.html;;
Carolina denuncia que A§ez enfrenta m†s de 12 horas de audiencia Æal borde una nueva crisisØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/4/carolina-denuncia-que-anez-enfrenta-mas-de-12-horas-de-audiencia-al-borde-una-nueva-crisis-327733.html;;
Jaime Paz estuvo al borde de la muerte, revela su hijo Rodrigo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/jaime-paz-estuvo-al-borde-de-la-muerte-revela-su-hijo-rodrigo-327723.html;;
ANP protesta por la decisi¢n de la justicia de excluir a periodistas del juicio contra A§ez;POLITICA;https://www.paginasiete.bo/nacional/2022/4/4/anp-protesta-por-la-decision-de-la-justicia-de-excluir-periodistas-del-juicio-contra-anez-327719.html;;
Agente de Chile habla de tranquilidad y cree que Bolivia no pudo probar Æflujo artificialØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/agente-de-chile-habla-de-tranquilidad-cree-que-bolivia-no-pudo-probar-flujo-artificial-327716.html;;
Comisi¢n sesiona por tiempo y materia para revisar requisitos de postulantes a Defensor;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/comision-sesiona-por-tiempo-materia-para-revisar-requisitos-de-postulantes-defensor-327711.html;;
Calzadilla presenta reclamo por falta de traducci¢n al espa§ol en parte de la intervenci¢n boliviana;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/calzadilla-presenta-reclamo-por-falta-de-traduccion-al-espanol-en-parte-de-la-intervencion-boliviana-327706.html;;
Bolivia manifiesta en la CIJ su intenci¢n de desmantelar canales del Silala;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-manifiesta-en-la-cij-su-intencion-de-desmantelar-canales-del-silala-327701.html;;
Bolivia en la CIJ: El Silala es un curso de agua internacional aumentado de forma artificial;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-en-la-cij-el-silala-es-un-curso-de-agua-internacional-aumentado-de-forma-artificial-327693.html;;
Bolivia excluy¢ deuda hist¢rica y busca un tratado con Chile;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-excluyo-deuda-historica-busca-un-tratado-con-chile-327651.html;;
Tecn¢crata: ven que Arce construye su liderazgo marcando diferencia con Evo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/tecnocrata-ven-que-arce-construye-su-liderazgo-marcando-diferencia-con-evo-327661.html;;
Contramemoria: ÆLa canalizaci¢n se hizo para asegurar m†s aguaØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/contramemoria-la-canalizacion-se-hizo-para-asegurar-mas-agua-327652.html;;
Cabrera: La ALP no tiene derecho a equivocarse;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/4/cabrera-la-alp-no-tiene-derecho-equivocarse-327660.html;;
Rodr°guez: Ped°, sin Çxito, que A§ez y Arce transparenten alcances del proceso del Silala;POLITICA;https://www.paginasiete.bo/nacional/2022/4/3/rodriguez-pedi-sin-exito-que-anez-arce-transparenten-alcances-del-proceso-del-silala-327582.html;;
Bolivia inicia ma§ana alegatos en La Haya y espera fallo ÆequilibradoØ en noviembre;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/3/bolivia-inicia-manana-alegatos-en-la-haya-espera-fallo-equilibrado-en-noviembre-327605.html;;
Abogados y activistas entre los postulantes a defensor;POLITICA;https://www.paginasiete.bo/nacional/2022/4/3/abogados-activistas-entre-los-postulantes-defensor-327591.html;;
Oropeza: Æ®Si el agua fluye, por quÇ solicitaron la concesi¢n?Ø;POLITICA;https://www.paginasiete.bo/nacional/2022/4/3/oropeza-si-el-agua-fluye-por-que-solicitaron-la-concesion-327581.html;;
Contralor°a halla 109 observaciones al ‡rgano Judicial que urgen a la reforma;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/3/contraloria-halla-109-observaciones-al-organo-judicial-que-urgen-la-reforma-327583.html;;
Huevos de moscas: el alegato de Chile sobre edificaci¢n de canales en el Silala;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/3/huevos-de-moscas-el-alegato-de-chile-sobre-edificacion-de-canales-en-el-silala-327580.html;;
Victor Hugo Ch†vez: ÆLa contrademanda del Silala es una chambonada, se debe ir al arbitrajeØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/3/victor-hugo-chavez-la-contrademanda-del-silala-es-una-chambonada-se-debe-ir-al-arbitraje-327571.html;;
Arce y Choquehuanca piden unidad en congreso campesino pace§o;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/3/arce-choquehuanca-piden-unidad-en-congreso-campesino-paceno-327595.html;;
Jaime Paz Zamora es internado, pero se encuentra Æen franca recuperaci¢nØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/2/jaime-paz-zamora-es-internado-pero-se-encuentra-en-franca-recuperacion-327554.html;;
Conocidos y polÇmicos, hay 19 aspirantes a Defensor que repiten postulaci¢n;POLITICA;https://www.paginasiete.bo/nacional/2022/4/2/conocidos-polemicos-hay-19-aspirantes-defensor-que-repiten-postulacion-327538.html;;
Bolivia: El Silala es un curso de agua internacional artificialmente mejorado;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/2/bolivia-el-silala-es-un-curso-de-agua-internacional-artificialmente-mejorado-327501.html;;
Chile reconoce que hay canales y dice no oponerse a que Bolivia los desmantele;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/2/chile-reconoce-que-hay-canales-dice-no-oponerse-que-bolivia-los-desmantele-327502.html;;
"198 postulantes para Defensor; Galindo declina y critican a Cruz";POLITICA;https://www.paginasiete.bo/nacional/2022/4/2/198-postulantes-para-defensor-galindo-declina-critican-cruz-327518.html;;
Escritora interrumpe sesi¢n de honor en Potos°: ÆEl Gobierno de Evo Morales entreg¢ el SilalaØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/escritora-interrumpe-sesion-de-honor-en-potosi-el-gobierno-de-evo-morales-entrego-el-silala-327472.html;;
HRW ve alineamiento de Bolivia con Æreg°menes autoritariosØ tras nueva votaci¢n en la ONU;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/hrw-ve-alineamiento-de-bolivia-con-regimenes-autoritarios-tras-nueva-votacion-en-la-onu-327464.html;;
Cierra el plazo: 198 personas postularon para defensor del Pueblo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/cierra-el-plazo-198-personas-postularon-para-defensor-del-pueblo-327458.html;;
Fiscal°a reabre caso por enriquecimiento il°cito contra el gobernador Montes y su familia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/fiscalia-reabre-caso-por-enriquecimiento-ilicito-contra-el-gobernador-montes-su-familia-327465.html;;
"Lima niega ser parte de un consorcio de abogados; oposici¢n pedir† informe";NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/lima-niega-ser-parte-de-un-consorcio-de-abogados-oposicion-pedira-informe-327460.html;;
Bolivia dice que pidi¢ a la CIJ que se levante la reserva de pruebas en la disputa con Chile;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/bolivia-dice-que-pidio-la-cij-que-se-levante-la-reserva-de-pruebas-en-la-disputa-con-chile-327456.html;;
N£§ez: Copa evidencia que Quintana dirigi¢ las protestas de Senkata en 2019;POLITICA;https://www.paginasiete.bo/nacional/2022/4/1/nunez-copa-evidencia-que-quintana-dirigio-las-protestas-de-senkata-en-2019-327449.html;;
Caso Silala: Chile dice que no se opone a que Bolivia desmantele los canales en su territorio;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/caso-silala-chile-dice-que-no-se-opone-que-bolivia-desmantele-los-canales-en-su-territorio-327452.html;;
Chile afirma en La Haya que Bolivia acept¢ que el Silala Æfluye naturalmenteØ hacia el pa°s vecino;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/chile-afirma-en-la-haya-que-bolivia-acepto-que-el-silala-fluye-naturalmente-hacia-el-pais-vecino-327440.html;;
Mar°a Galindo llega a la ALP y echa a la basura su postulaci¢n a defensora: Esto ya est† negociado;POLITICA;https://www.paginasiete.bo/nacional/2022/4/1/maria-galindo-llega-la-alp-echa-la-basura-su-postulacion-defensora-esto-ya-esta-negociado-327441.html;;
Alanoca dice que no se opuso a la condecoraci¢n para Arce, sino que observ¢ el procedimiento;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/alanoca-dice-que-no-se-opuso-la-condecoracion-para-arce-sino-que-observo-el-procedimiento-327439.html;;
Nadia Cruz presenta su postulaci¢n al cargo de defensora: El interinato no es un impedimento;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/nadia-cruz-presenta-su-postulacion-al-cargo-de-defensora-el-interinato-no-es-un-impedimento-327438.html;;
Caso Silala: Bolivia y Chile llegan a la etapa de alegatos con coincidencias;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/caso-silala-bolivia-chile-llegan-la-etapa-de-alegatos-con-coincidencias-327431.html;;
Bolivia tiene 8 juristas y 3 expertos, Chile 6 abogados y tres especialistas;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/bolivia-tiene-juristas-expertos-chile-abogados-tres-especialistas-327433.html;;
Silala: Evo rechaz¢ pago de Chile e indujo la demanda en la CIJ;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/silala-evo-rechazo-pago-de-chile-indujo-la-demanda-en-la-cij-327432.html;;
Hay 65 postulantes a defensor y hoy se cierra la inscripci¢n;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/hay-65-postulantes-defensor-hoy-se-cierra-la-inscripcion-327430.html;;
"Copa dice que Quintana opera desde Senkata; piden pruebas";NACIONAL;https://www.paginasiete.bo/nacional/2022/4/1/copa-dice-que-quintana-opera-desde-senkata-piden-pruebas-327425.html;;
TCP declara nulos los decretos de ascenso de militares firmados por A§ez y su gabinete;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/tcp-declara-nulos-los-decretos-de-ascenso-de-militares-firmados-por-anez-su-gabinete-327382.html;;
"Bolivia rechaza creaci¢n de grupo para investigar vulneraciones en Nicaragua; HRW lo condena";NACIONAL;https://www.paginasiete.bo/nacional/2022/3/31/bolivia-rechaza-creacion-de-grupo-para-investigar-vulneraciones-en-nicaragua-hrw-lo-condena-327380.html;;
Silala: agente de Chile dice que Bolivia no pide compensaci¢n por la Ædeuda hist¢ricaØ;NACIONAL;https://www.paginasiete.bo/nacional/2022/3/31/silala-agente-de-chile-dice-que-bolivia-no-pide-compensacion-por-la-deuda-historica-327377.html;;
"Caso Silala: Bolivia ultima defensa con equipo jur°dico; alegatos orales se abren con aforo reducido";NACIONAL;https://www.paginasiete.bo/nacional/2022/3/31/caso-silala-bolivia-ultima-defensa-con-equipo-juridico-alegatos-orales-se-abren-con-aforo-reducido-327374.html;;
Senado niega que Trinidad Rocha haya viajado a La Haya;NACIONAL;https://www.paginasiete.bo/nacional/2022/3/31/senado-niega-que-trinidad-rocha-haya-viajado-la-haya-327368.html;;
Del Castillo: No podemos renunciar a un cargo que nos ha confiado nuestro Presidente;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/del-castillo-no-podemos-renunciar-un-cargo-que-nos-ha-confiado-nuestro-presidente-327363.html;;
Con ceremonia y marcha, Patty se postula a defensora del Pueblo;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/con-ceremonia-marcha-patty-se-postula-defensora-del-pueblo-327360.html;;
Lima: En este momento no tenemos condiciones para la cumbre judicial;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/lima-en-este-momento-no-tenemos-condiciones-para-la-cumbre-judicial-327359.html;;
Copa dice que Quintana opera desde Senkata y que Wilma Alanoca neg¢ condecoraci¢n para Arce;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/copa-dice-que-quintana-opera-desde-senkata-que-wilma-alanoca-nego-condecoracion-para-arce-327357.html;;
El MAS oficializa ante el TSE su pedido de retiro de curul del diputado Rolando CuÇllar;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/el-mas-oficializa-ante-el-tse-su-pedido-de-retiro-de-curul-del-diputado-rolando-cuellar-327346.html;;
Bolivia llega a la CIJ y en Potos° advierten con no acatar el fallo;NACIONAL;https://www.paginasiete.bo/nacional/2022/3/31/bolivia-llega-la-cij-en-potosi-advierten-con-no-acatar-el-fallo-327312.html;;
Evismo envalentonado dice que acabar† con las voces disidentes;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/evismo-envalentonado-dice-que-acabara-con-las-voces-disidentes-327314.html;;
Oposici¢n ve gasto in£til en viaje de dos masistas a CIJ;POLITICA;https://www.paginasiete.bo/nacional/2022/3/31/oposicion-ve-gasto-inutil-en-viaje-de-dos-masistas-cij-327313.html;;
